name model,val_auc,val_auprc,test_auc,test_auprc,best_epoch
GCN_ST_MV_c_1_layers_32_embeddingDimension_0.01_lr,0.57602289213147,0.09078518769859827,0.4132922195097164,0.18250766512448469,43
GCN_ST_MV_c_3_layers_32_embeddingDimension_0.01_lr,0.6348518079549569,0.10623355619828352,0.4236257585188112,0.18709025007343943,46
GCN_ST_MV_c_1_layers_128_embeddingDimension_0.01_lr,0.5838191780866058,0.09302006787753009,0.41897718427710334,0.18299015193390342,35
GCN_ST_MV_c_3_layers_128_embeddingDimension_0.01_lr,0.6478286403559852,0.11588882642368263,0.42417110754324794,0.1903665535175376,34
GCN_ST_MV_c_1_layers_256_embeddingDimension_0.01_lr,0.5859032723113966,0.094401182509529,0.4138844036385211,0.18168875241893045,33
GCN_ST_MV_c_3_layers_256_embeddingDimension_0.01_lr,0.5744922421101144,0.08972666780321714,0.45824123589436166,0.19588745651975173,32
GCN_ST_MV_c_1_layers_32_embeddingDimension_0.001_lr,0.5678953006938702,0.08882011186310407,0.4164508728661753,0.18235125556424175,144
GCN_ST_MV_c_3_layers_32_embeddingDimension_0.001_lr,0.6629327459703818,0.12160728517112138,0.43153289723000327,0.190757607174341,206
GCN_ST_MV_c_1_layers_128_embeddingDimension_0.001_lr,0.5672098317541525,0.08837510185137921,0.4069333899240018,0.179902874315713,62
GCN_ST_MV_c_3_layers_128_embeddingDimension_0.001_lr,0.6681104215933481,0.12413130466891312,0.4312339610262895,0.19163060423966485,104
GCN_ST_MV_c_1_layers_256_embeddingDimension_0.001_lr,0.5629551477402625,0.08671806974409951,0.40530048276445774,0.17990082340647037,50
GCN_ST_MV_c_3_layers_256_embeddingDimension_0.001_lr,0.6743624388340967,0.12664769410506097,0.43662646698723656,0.19303873333063523,101
GCN_ST_MV_c_3_layers_32_embeddingDimension_0.0001_lr,0.6019711333209884,0.09567506711212156,0.47590261814252277,0.21055203222253727,404
GCN_ST_MV_c_3_layers_128_embeddingDimension_0.0001_lr,0.6434702850306806,0.11225159295924467,0.44272214475348237,0.19498998100569567,162
GCN_ST_MV_c_1_layers_256_embeddingDimension_0.0001_lr,0.5642639045058696,0.08764051456011576,0.4062214293769724,0.17995505241849452,444
GCN_ST_MV_c_3_layers_256_embeddingDimension_0.0001_lr,0.6560539885620161,0.12096791713592875,0.44277508595480974,0.19580492631006902,94
